,control_day3,covid_day3,chi
11501,107.7318538,26.875543055,243.2599398610367
23041,469.07807355,231.9983122,242.2725092642849
5350,437.71092595000005,211.50100364999997,241.94177835511218
28727,53.86736756,8.505866056,241.91138270346096
9164,561.6263074000001,294.72849185,241.69513947642406
5147,142.1103782,41.71101048,241.6636020699871
26420,416.3662484,875.6665051499999,240.90989504557945
14884,53.158474354999996,8.3422020935,240.7635582194607
27782,219.58164415,597.3923559,238.9400073557948
11154,984.72704135,605.1416397999999,238.10140898169752
15804,151.5968778,46.53676737000001,237.1807804312427
29057,687.6309110499999,385.47986235,236.83534510453185
31150,70.177716605,13.543920105,236.8137792557816
30405,64.67368827249999,11.8100141,236.62698650090874
28445,8.6911664215,253.63660850000002,236.55208902949752
25010,213.6770679,77.95937259,236.26784321530928
6541,485.12906,245.08210925000003,235.11523848358138
28055,141.0902584,41.87467444,235.0760270298548
16398,329.10590030000003,144.69698935000002,235.01972356527835
5007,85.10773657499999,18.745638115,234.93081883890486
16919,254.32325919999997,100.66381461000002,234.55523718412428
30050,21.897936025,1.7339060035,234.49258834517516
27693,91.06705815,21.0191692,233.43961408101373
